Index	Distance[?m]	Time[s]	Velocity[?m/s]
205.000000	0.647014	0.806000	0.802747
206.000000	0.851750	1.511000	0.563699
207.000000	2.248619	2.922000	0.769548
208.000000	2.078269	2.720000	0.764069
209.000000	1.022100	0.805000	1.269689
210.000000	2.521179	1.814000	1.389845
211.000000	1.124309	0.705000	1.594765
212.000000	0.749540	0.403000	1.859900
213.000000	2.093147	1.410000	1.484501
214.000000	0.907030	0.706000	1.284745
215.000000	0.913038	0.705000	1.295089
216.000000	1.448263	1.209000	1.197902
217.000000	1.206886	1.209000	0.998251
218.000000	2.342410	1.713000	1.367431
219.000000	1.408683	1.209000	1.165164
220.000000	1.750253	1.309000	1.337092
221.000000	0.857967	1.007000	0.852003
222.000000	1.998926	1.914000	1.044371
223.000000	2.233278	1.612000	1.385408
224.000000	1.511757	1.310000	1.154013
225.000000	0.687162	0.403000	1.705117
226.000000	0.410615	0.202000	2.032745
227.000000	0.996385	0.705000	1.413313
228.000000	2.115450	2.115000	1.000213
229.000000	0.716524	0.403000	1.777974
230.000000	1.978970	0.907000	2.181885
231.000000	1.022150	0.504000	2.028075
232.000000	1.431010	0.302000	4.738443
233.000000	1.198380	0.503000	2.382465
234.000000	0.684788	0.403000	1.699227
235.000000	1.643492	1.309000	1.255533
236.000000	0.650549	0.705000	0.922765
237.000000	0.923940	1.008000	0.916607
238.000000	0.855500	1.209000	0.707610
239.000000	0.855500	0.705000	1.213475
240.000000	2.643610	2.418000	1.093304
241.000000	1.788661	1.410000	1.268554
242.000000	1.017443	1.813000	0.561193
243.000000	3.683852	3.425000	1.075577
244.000000	1.841926	1.310000	1.406050
245.000000	1.023292	0.805000	1.271170
246.000000	1.569860	1.914000	0.820199
247.000000	1.767194	1.511000	1.169553
248.000000	1.802538	0.302000	5.968668
249.000000	4.044151	3.727000	1.085096
250.000000	0.959629	0.706000	1.359248
251.000000	0.411270	0.403000	1.020520
252.000000	1.428188	1.007000	1.418260
253.000000	0.816107	0.504000	1.619261
254.000000	1.027897	0.705000	1.458009
255.000000	1.267739	0.907000	1.397728
256.000000	3.155976	2.620000	1.204571
257.000000	1.187733	1.007000	1.179477
258.000000	1.357409	0.806000	1.684130
259.000000	0.746575	0.302000	2.472103
260.000000	0.984253	0.806000	1.221157
261.000000	1.221831	0.403000	3.031838
262.000000	1.247973	1.007000	1.239298
263.000000	0.674580	0.706000	0.955496
264.000000	0.910683	0.705000	1.291749
265.000000	1.026008	0.604000	1.698689
266.000000	0.608282	0.302000	2.014178
267.000000	1.556274	1.209000	1.287241
268.000000	0.811969	1.108000	0.732824
269.000000	1.088545	1.108000	0.982442
270.000000	1.802903	1.410000	1.278655
271.000000	0.714358	0.503000	1.420194
272.000000	0.914732	0.604000	1.514457
273.000000	0.925107	0.605000	1.529102
274.000000	1.135606	0.907000	1.252047
275.000000	0.853004	0.605000	1.409924
276.000000	0.784764	0.302000	2.598556
277.000000	1.228326	1.108000	1.108598
278.000000	0.989485	0.806000	1.227649
279.000000	1.910729	1.612000	1.185316
280.000000	0.853004	0.604000	1.412259
281.000000	0.784764	0.303000	2.589980
282.000000	1.191971	1.209000	0.985915
283.000000	0.799348	0.906000	0.882283
284.000000	0.749540	1.209000	0.619967
285.000000	0.894427	0.705000	1.268690
286.000000	1.090239	0.705000	1.546439
287.000000	0.775016	0.604000	1.283139
288.000000	1.022369	0.605000	1.689867
289.000000	1.158685	1.007000	1.150631
290.000000	9.269482	8.059000	1.150202
291.000000	1.023235	1.410000	0.725699
292.000000	3.717755	3.123000	1.190444
293.000000	0.603922	0.504000	1.198258
294.000000	0.848449	0.705000	1.203473
295.000000	1.568127	1.109000	1.414001
296.000000	3.749868	2.820000	1.329741
297.000000	3.214394	2.417000	1.329911
298.000000	1.250103	1.108000	1.128252
299.000000	1.114978	0.907000	1.229303
300.000000	1.385276	0.705000	1.964930
301.000000	1.047404	0.504000	2.078182
302.000000	1.095661	0.907000	1.208006
303.000000	0.616310	0.605000	1.018694
304.000000	0.616310	1.310000	0.470465
305.000000	1.566807	1.209000	1.295953
306.000000	0.817465	0.705000	1.159524
307.000000	0.579037	0.403000	1.436818
308.000000	1.093288	0.504000	2.169221
309.000000	1.335337	0.906000	1.473882
310.000000	1.335337	0.806000	1.656746
311.000000	0.958704	0.504000	1.902190
312.000000	1.189580	1.108000	1.073628
313.000000	0.339880	0.403000	0.843375
